id;pembuat;pasir;batu;air
1;jin1;3;1;2
2;jin3;5;3;5
4;jin2;1;1;4
5;jin3;6;3;1
6;jin2;4;1;1
7;jin4;3;4;3
3;nelayan1;2;1;5
8;nelayan1;5;3;2
9;nelayan1;4;5;4
10;nelayan1;3;1;5
11;nelayan1;1;2;5
12;nelayan1;4;2;1
13;nelayan1;1;4;1
14;nelayan1;1;4;1
15;nelayan;5;5;3
16;nelayan;3;2;4
17;nelayan;5;2;4
18;nelayan;2;2;5
19;nelayan;3;4;2
20;nelayan;4;4;2
21;nelayan;2;4;5
22;nelayan;2;3;3
23;nelayan;4;1;1
24;ridwan_fauzan;3;5;2
25;ridwan_fauzan;3;3;4
26;ridwan_fauzan;4;5;1
27;ridwan_fauzan;1;3;2
28;ridwan_fauzan;5;5;1
29;ridwan_fauzan;4;1;4
30;nelayan;2;4;1
31;nelayan;4;3;3
32;nelayan;1;4;1
33;nelayan;3;5;3
34;nelayan;3;4;2
35;nelayan;1;4;2
36;nelayan;4;5;1
37;bimo;2;2;4
38;bimo;1;2;1
39;bimo;3;2;3
40;nelayan;5;1;3
41;nelayan;1;2;5
42;nelayan;4;3;2
43;nelayan;1;4;3
44;nelayan;5;3;4
45;nelayan;4;5;3
46;nelayan;5;2;3
47;nelayan;2;2;5
48;nelayan;5;2;5
49;nelayan;4;5;2
50;nelayan;5;5;3
51;nelayan;2;4;4
52;nelayan;5;2;4
